county,state,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,mean_2010,mean_2011,mean_2012,mean_2013,mean_2014,mean_2015,mean_2016,mean_2017,mean_2018,mean_2019
kanabec county,MN,N/A,27,65,1866,134566.66666666666,127412.5,122450.0,125704.16666666667,146212.5,154118.95833333334,151770.83333333334,162166.66666666666,175016.25,184900.0
richland county,IL,N/A,17,159,1867,120062.5,120062.5,120062.5,120062.5,120062.5,120062.5,120062.5,98366.66666666667,88771.70833333333,99175.0
park county,CO,Denver-Aurora-Lakewood,8,93,1868,250066.66666666666,233389.58333333334,214397.08333333334,236465.16666666666,254249.91666666666,290670.8333333333,337654.1666666667,349666.6666666667,384133.3333333333,398000.0
aitkin county,MN,N/A,27,1,1869,214158.33333333334,194500.0,170068.95833333334,173100.0,182406.41666666666,186220.79166666666,189587.08333333334,191200.0,190683.33333333334,187300.0
ashland county,WI,N/A,55,3,1870,113400.0,120416.66666666667,120029.16666666667,119304.16666666667,124833.33333333333,123004.16666666667,123358.33333333333,124383.33333333333,142816.58333333334,140725.0
baker county,OR,N/A,41,1,1871,125000.0,125000.0,139316.66666666666,167308.33333333334,157025.0,156341.66666666666,159487.5,168691.66666666666,197670.83333333334,191850.0
hill county,MT,N/A,30,41,1872,192822.22222222222,192822.22222222222,192822.22222222222,192822.22222222222,192822.22222222222,192822.22222222222,192822.22222222222,204287.5,182429.16666666666,173675.0
clay county,AR,N/A,5,21,1873,70767.85714285714,70767.85714285714,70767.85714285714,70767.85714285714,70767.85714285714,70767.85714285714,71587.08333333333,71695.83333333333,65993.75,68750.0
redwood county,MN,N/A,27,127,1874,89578.57142857143,89578.57142857143,89578.57142857143,89578.57142857143,89578.57142857143,89578.57142857143,89578.57142857143,89578.57142857143,92686.79166666667,88875.0
greene county,GA,N/A,13,133,1875,399999.0,399999.0,399999.0,425145.8333333333,438258.3333333333,426300.0,458775.0,469782.5,502066.6666666667,490250.0
bamberg county,SC,N/A,45,9,1876,126559.9,126559.9,126559.9,126559.9,126559.9,126559.9,126559.9,126559.9,126559.9,125000.0
king william county,VA,Richmond,51,101,1877,199443.75,199062.45833333334,186133.33333333334,187468.75,185395.83333333334,187959.125,193967.79166666666,208118.66666666666,222972.91666666666,229725.0
page county,IA,N/A,19,145,1878,84256.25,84256.25,84256.25,74962.5,81741.66666666667,89445.83333333333,92055.75,90420.33333333333,87016.16666666667,83500.0
washburn county,WI,N/A,55,129,1879,197458.33333333334,189641.66666666666,160816.66666666666,171758.33333333334,181886.66666666666,179112.5,191566.625,199008.33333333334,216570.83333333334,225600.0
arenac county,MI,N/A,26,11,1880,124375.0,104666.66666666667,94850.0,91854.16666666667,88629.16666666667,92166.66666666667,92395.83333333333,105181.0,103362.5,92075.0
carbon county,WY,N/A,56,7,1881,143279.16666666666,140091.66666666666,153300.0,156416.66666666666,163812.5,174870.83333333334,184562.5,187441.66666666666,178008.33333333334,175250.0
